seize                                                  체포하다/장악하다/몰수하다
defeat                                               무너뜨리다/무산시키다/저지하다
archaic                                                     구식의
aversion                                                    혐오
bleak                                                       절망적인 
brag                                                        허풍떨다/자랑하다
insolent                                                    버릇없는
cautious                                                    조심스러운

banish                                                      추방하다
benevolent                                                  친절한
astray                                                      잘못된 방향으로
ascent                                                      상승
aptitude                                                    적성
arbitrary                                                   임의적인/독단적인
get down to                                                 이제 집중해서 시작하다
push back                                                   미루다
hard calls                                                  어려운 결정
abusive                                                     학대하는
terms                                                       조건들
in terms of                                                 ~의 관점에서
call                                                        판정
confederation                                               연합
accuracy                                                    정확도
as part of                                                  ~의 일환으로
insurance                                                   보험
suppress                                                    억누르다
align                                                       정렬하다/일치시키다
applaud                                                     박수치다
aromatic                                                    향기로운
assertive                                                   적극적인
attire                                                      의상
barren                                                      황량한
baffle                                                      당황하게 하다
ambush                                                      매복 습격하다
stratosphere                                                성층권
beige                                                       지루한
bland                                                       밋밋한
blatant                                                     노골적인
brood                                                       되씹다[곱씹다]
blunder                                                     실수하다/큰 실수
brittle                                                     부서지기 쉬운/날카로운
conspicuous*                                                눈에 띄는
confide*                                                    털어놓다/신뢰하다
consecutive*                                                연속적인
coax*                                                       달래다/꾀어내다
contrive*                                                   고안하다
condense*                                                   요약하다/응축하다

adopt                                                       채택하다
burly                                                       건장한
bustle                                                   분주히 움직이다/북적거리다
canny                                                       영리한/약삭빠른
commence                                                    시작하다
conform                                                     따르다/순응하다
console                                                     위로하다
convoluted                                                  복잡한
cower                                                       움츠리다
cringe                                                      움츠리다/민망해하다
cumbersome                                                  다루기 힘든/번거로운
diets                                                       식단
cavity                                                      구멍/충치
fluoride                                                    불소
resistant                                                   저항력있는
capricious                                                  변덕스러운/예측불가한
ceaseless                                                   끊임없는/계속되는
ceremonial                                                  의식의/형식적인
chronicle                                                   기록하다/연대기
connoisseur                                                 감정가/전문가 (예술쪽)
pundit                                                      전문가 (사회쪽)
contradict                                                  모순되다/반박하다
cordial                                                     따뜻한
corrode                                                     부식시키다
coy                                                         수줍은/교묘한
cram                                                   억지로 밀어넣다/벼락치기하다
crude                                                       조잡한/무례한
curt                                                        무뚝뚝한
dainty                                                      우아한
dangle                                                      매달리다
dapper                                                      말끔한/단정한
dwindle*                                                    줄어들다/감소하다
despicable*                                                 경멸할 만한
downcast                                                    의기소침한/우울한
delirious                                                   정신없는
deliberate                                                  의도적인/신중한
devious                                                     교활한
disposition                                                 성격/배치
patent                                                      특허를 받다
delve                                                       파헤치다/조사하다
dawdle                                                      꾸물거리다
desolate                                                    황폐한/쓸쓸한

dazzle                                                      눈부시게 하다/현혹하다
discreet*                                                   비밀스런/신중한

drench                                                      흠뻑 적시다
deceit                                                      속임수
deference                                                   존경/경의
discern                                                     식별하다
decree                                                      포고하다/법령
defiant                                                     반항적인
deft                                                        능숙한
demeanor                                                    태도
demise                                                      죽음
disarray                                                    무질서
denounce                                                    비난하다
depict                                                      묘사하다
deteriorate                                                 악화되다
detest                                                      혐오하다/싫어하다
dote                                                        맹목적으로 사랑하다
drab                                                        칙칙한/단조로운
drowsy                                                      졸린/나른한
dull                                                        둔한
tabulate*                                                   표로 만들다
causation*(발음)                                            인과적 관계
exclusive                                                   독점적인
extensive                                                   광범위한
sawdust                                                     톱밥
disturb                                                     불안하게만들다/방해하다
ovarian                                                     난소암underrepresented                                            소외당한
exhaustive                                                  철저한/완전한
ephemeral                                                   일시적인/덧없는
arbitrage                                                   차익거래
benefit                                                     이득을보다(자동사)
insecurity                                                  불안감
endorse                                                     지지하다, 승인하다

strike down                                                 폐지하다/(판결을)뒤집다
reaction appears mixed                                      반응이 엇갈려 보인다
she brought the case                                        그녀가 소송을 제기했다
ethnicity                                                   민족성
coordination                                                조화
undernourished                                              영양결핍의
nourish                                                     영양분을 공급하다
secure                                                     확보하다/보호하다/안전한
effect                                                      영향
start out on                                                ~을 시작하다
significance                                                중요성/의미
equivocate                                                애매하게 말하다/회피하다
evoke                                                 bring to mind/떠올리게 하다
exhilarate                                                  흥분시키다
eccentric                                                   특이한/괴짜 같은
articulate                                                  유창한/분명히 표현하다
erratic                                                   변덕스러운/일정하지 않은
embrace                                                     포옹하다/받아들이다
envision                                                    상상하다/그려보다

eclipse                                                     가리다/능가하다
elate                                                       기쁘게 하다
embellish                                                   꾸미다/과장하다
engulf                                                      삼키다, 압도하다
explicit                                                    명시적인, 분명한intensify                                                   심해지다/강화하다
discharge                                    퇴원시키다/석방,해고하다/방출,배출하다
confidentiality                                             비밀
refrain                                                     삼가다
dither                                                      망설이다
vacillate                                                   망설이다/흔들리다 
falter                                                      망설이다
stall                                                       망설이다
intensive                                                   집중적인
the first set                                             첫 번째 무리/집단      
pyrexia                                                     발열
aristocratic                                                귀족(적)인
sorely                                                      너무
befitting                                                   어울리는
understatement                                              절제된 표현 
referral                                                    소개
getup                                                       차림새
chauffeurs                                                  운전기사
suitors                                                     구혼자
abolish                                                     폐지하다
pariah(발음)                                                부랑자
illegitimate(발음)                                          사생아로 태어난
hunch                                                       구부리다/예감
potent                                                      강한
prodigal                                                    (돈,시간)낭비하는
estrange                                                    멀리하다
estranged                                                   소원해진
courageous                                                  용기있는
genuinely                                                   진심으로 
at heart                                                    본래
come to an end                                              끝나다

go out of one's way                                         특별히 노력하다
see fit                                                     적절하다고 생각하다
pop up                                                      갑자기 나타나다
give chase                                                  추격하다
at long last                                                마침내, 드디어
out of place                                                어울리지 않는
prodigal son                                                탕자
third party                                                 제3자

Your hunch was right on the money. 너의 예감은 정확히 맞다

While others were being cautious and reading the room 남들이 눈치보고 분위기 살필 때 

go out of one's way 특별히 노력하다
He went out of his way to get you admitted into a good school

see fit 적절하다고 생각하다
I don't see fit to discuss this matter further.station*                                                    배치하다/주둔시키다/역
shape up                                                    전개되다
stunting                                                    발육부진
stretch*                                                    압박하다
lingering                                                   오래 끄는
admit                                             들어가게 하다/입원시키다/인정하다
desperate                                                   자포자기한

cast aside                                                  버리다
footage                                                     영상(장면)
bolster                                                강화하다/지지하다/개선하다  
gross                                                       total
reject                                                      낙오자
outcast                                                     버림받는 사람

allegedly                                                   전해지는 바로는
pollination                                                 수분(식물의 생식 과정)
hive                                                        벌집
declarative                                                 평서문의
herbicide                                                   제초제
procedure                                                   절차
adverts                                                     광고
humble                                                      겸손한
inheritance                                                 상속
quit                                                        그만하다
mistress                                                정부(불륜 관계에 있는 여성)
sign                                                        징후/간판
alike(부사)                                                 똑같이 
stick/stuck                                                 꽂다/박다/찌르다
hang/hung                                                   걸다
blood clot                                                  혈전
defeat                                               무너뜨린다/무산시키다/저지하다

spot on 정확한
it is spot on 정확합니다

prospective students - 예비 학생들
prospective suitors - 예비 구혼자들
prospective writer* - 작가 지망생

easier on ~에게 더 부드럽다, 덜 해롭다, 부담을 덜 준다 관용구
their production methods are easier on the environment.
자신들의 생산 방식이 환경에 더 부담을 덜 준다

get to 부정사 ~할 기회를 얻다
It is a possibility that today will be the last Sunday we ever get to see in our lives.

영어에서 수량을 나타내는 표현은 항상 of + 명사/대명사 구조를 사용
all of which = 그 모든 것들이 또는 그 모든 사건들이
some of which (그중 일부가)
most of which (그중 대부분이)
both of which (그 둘 다)
none of which (그중 아무것도 ~하지 않다)
all of which has put them under heavy suspicion.
spoke with someone                                          ~와 인터뷰하다
crowdsource(동사)                     인터넷을 통해 여러 사람의 정보나 도움을 모으다
pork chop                                                   돼지갈비
intensive                                                   집중적인
confined                                                    갇힌
confined animals                                       가축=갇힌 동물=사육되는 동물
hog                                                         돼지
par                                                         표준/기준/평균수준

be up to 관용표현

뭔가를 꾸미다/계획하다 
What are you up to?
They're up to something. 그들이 뭔가를 계획하고 있어.
I suspect he's up to no good 그가 좋지 않은 일을 계획하고 있는 것 같아

~할 능력이 있다/~을 감당할 수 있다
Are you up to going for a walk? 산책할 기운 있어?
I don't think I'm up to the task.
He's not up to playing football today.

~에 달려있다/~의 책임이다
It's up to you to decide.

up to date (최신의, 현재까지의)

Keep me up to date on the situation. - 상황을 계속 업데이트해줘.
Is your software up to date? - 소프트웨어가 최신 버전이야?
The website needs to be kept up to date. - 웹사이트를 최신 상태로 유지해야 해.
Her medical records are not up to date. - 그녀의 의료 기록이 최신이 아니야.

up to speed (상황을 파악한, 따라잡은)

It took me a week to get up to speed with the new system. 새 시스템을 파악하는 데 일주일 걸렸어.
Can you bring the new employee up to speed? - 새 직원에게 상황을 설명해줄 수 있어?
I'm not up to speed on the latest regulations. - 최신 규정에 대해 잘 모르겠어.
Let me get you up to speed on what happened. - 무슨 일이 있었는지 설명해줄게.

up to the minute (가장 최신의)

We need up to the minute information. - 가장 최신 정보가 필요해.
The news app provides up to the minute updates. - 뉴스 앱이 실시간 업데이트를 제공해.

up to par (기준에 맞는, 수준에 맞는)

Your work is not up to par. - 네 작업이 수준에 못 미쳐.
We need to bring our service up to par with competitors. - 경쟁사 수준에 맞게 서비스를 개선해야 해.

up to scratch (기준에 맞는)

His performance isn't up to scratch. - 그의 성과가 기준에 못 미쳐.
