comeuppance                                         마땅한 벌
disrepute                                           오명/악평
obscure                                             무명의 
weary                                               지친
flair                                               (타고난) 재주
reproachful                                         비난하는
decency                                             예절/체면

stupefy                                             깜짝 놀라게 하다
haughty                                             거만한
absurd                                              터무니없는/불합리
take something up                                   ~을 시작하다
exaggerated                                         과장된 
metamorphose                                        변화시키다/변하다
eminently                                           대단히
break down                                          분해하다
disentangle                                         구분하다/풀어주다
seclusion                                           은둔/격리
grin                                                활짝 웃다
deafening                                           귀청이 터질듯한 
blunt                                               무딘
pip                                                 과일의 씨
diverse                                             다양한
diverge                                             갈라지다/분기하다 
threat                                              협박
niece                                               조카
blitz                                               공세
commemorative                                       기념하는
taper                                               점점 가늘어지다
inveterate                                          상습적인
lope                                                천천히 달리다
reciprocal                                          상호간의
inquest                                             조사
concede                                             인정하다
cede                                                양도하다
revelation                                          폭로
proprietary                                         상표가 붙은
equanimity                                          침착/평정
resolved                                            단호한 

diverge                                             분기하다
dissemble                                           가식적으로 꾸미다
lug                                                 (무거운걸)나르다
repellent                                           역겨운
alert                                               기민한/경계태세
acquaint                                            익히다/숙지하다 
indebted                                            감사하는 

courteous                                           공손한
engrossed                                           몰두한 
flop                                                실패작/털썩 주저앉다
breach                                              위반하다 
animosity                                           반감/적대감
arbitration                                         중재
ebony                                               흑단
hew                                                 자르다
belly                                               (신체기관)배
whimper                                             훌쩍이며 말하다
impose                                              (법률등을)도입하다
dubious                                             의심하는
arguably                                            틀림없이
misapprehension                                     오해
arson                                               방화
nursery                                             유치원/아기방
reimplement                                         다시 구현하다
flock                                               무리/떼
fleck                                               얼룩
fluke                                               요행
disquiet                                            불안
rampant                                             걷잡을 수 없는

disparate                                           서로 전혀 다른
dismissive                                          무시하는
gross                                               total
duress                                              협박
dross                                               찌꺼기
deter                                               단념시키다
hunch                                               구부리다
brevity                                             간결성
detain                                              구금하다
affirm                                              단언하다 
portend                                             징후이다 
overt                                               공공연연한
vacillate                                           흔들리다 
venerate      	                                    숭배하다

recrimination                                       비난
discrimination                                      차별
aggression                                          침략
as in                                               ~경우와 같이
divest                                              (옷을) 벗다
other than                                          ~외에
bet                                                 틀림없다
constituent                                         ~구성하는/구성성분
philanthropy                                        자선활동
envelop                                             감싸다
tribunal                                            재판소
credulity                                           쉽게 잘 믿음
renewable                                           재생가능한
outrage                                             잔학한행위/격노
germ                                                세균
causes                                              대의
call for                                            요구하다
hurtful                                             마음을 상하게 하는
court                                               법원 / 법정
fling                                               내던지다
